file,extension,path,item_uid_do_not_translate,lang_item_name,lang_item_definite_article,lang_item_indefinite_article,lang_item_demonstrative_article,lang_item_description
polishedstoneitem,.lang,items\lang\german\polishedstoneitem.lang,Polished Stone,Polierter Stein,der,ein,dieser,"Ein perfekt kugelförmiger Stein, abgerundet und geschliffen, bis seine glatte Oberfläche glänzt. Dieser Gegenstand kann deinem Steinlager gespendet werden."
polishedstonerecipeitem,.lang,items\lang\german\polishedstonerecipeitem.lang,Polished Stone Recipe,Rezept für polierten Stein,das,ein,dieses,"Ein perfekt kugelförmiger Stein, abgerundet und geschliffen, bis seine glatte Oberfläche glänzt. Dieser Gegenstand kann deinem Steinvorrat gespendet werden."
portobelloitem,.lang,items\lang\german\portobelloitem.lang,Portobello,Brauner Champignon,der,ein,dieser,Ein gesundheitsfördernder brauner Pilz. Er ist ein sättigender Snack.
pouffurnitureitem,.lang,items\lang\german\pouffurnitureitem.lang,Pouf Furniture,Hocker,der,ein,dieser,Ein weicher ovaler Hocker aus grob gestricktem Stoff.
powerpawblueitem,.lang,items\lang\german\powerpawblueitem.lang,Power Paw Blue,Power-Pfote (Blau),die,eine,diese,"Ein antikes Token aus glänzendem blauem Metall. Die Legende besagt, dass es dich widerstandsfähiger gegen Hunger machen kann."
powerpawgreenitem,.lang,items\lang\german\powerpawgreenitem.lang,Power Paw Green,Power-Pfote (Grün),die,eine,diese,"Ein antikes Token aus glänzendem grünem Metall. Die Legende besagt, dass es dein Glück erhöhen kann."
powerpawpurpleitem,.lang,items\lang\german\powerpawpurpleitem.lang,Power Paw Purple,Power-Pfote (Lila),die,eine,diese,"Ein antikes Token aus glänzendem lila Metall. Die Legende besagt, dass es deine soziale Anmut verbessern kann."
powerpawrainbowitem,.lang,items\lang\german\powerpawrainbowitem.lang,Power Paw Rainbow,Power-Pfote (Regenbogen),die,eine,diese,"Ein antikes Token aus schimmerndem Regenbogenmetall. Die Legende besagt, dass es deine Kampffähigkeiten verbessert."
powerpawreditem,.lang,items\lang\german\powerpawreditem.lang,Power Paw Red,Power-Pfote (Rot),die,eine,diese,"Ein antikes Token aus glänzendem rotem Metall. Die Legende besagt, dass es deine Vitalität erhöhen kann."
powerpawyellowitem,.lang,items\lang\german\powerpawyellowitem.lang,Power Paw Yellow,Power-Pfote (Gelb),die,eine,diese,"Ein antikes Token aus glänzendem gelbem Metall. Die Legende besagt, dass es dich schneller machen kann."
prowleritem,.lang,items\lang\german\prowleritem.lang,Prowler,Streuner,der,ein,dieser,Ein gruseliges Krabbeltier mit einem fiesen Biss. Häufig in Schwärmen anzutreffen.
quartzitem,.lang,items\lang\german\quartzitem.lang,Quartz,Quarz,der,ein,dieser,Eine Formation aus hellrosa durchscheinenden Kristallen.
queenofthenightitem,.lang,items\lang\german\queenofthenightitem.lang,Queen of the Night,Königin der Nacht,die,eine,diese,"Eine mysteriöse Blume, die nur nachts blüht."
queenofthenightseedsitem,.lang,items\lang\german\queenofthenightseedsitem.lang,Queen of the Night Seeds,Königin-Samen,die,ein Haufen Königin-der-Nacht-Samen,diese,"Eine große Zwiebel, die von einer Königin-der-Nacht-Pflanze stammt. Säe sie im Garten aus und beobachte, wie sie wächst!"
queenofthenightseedsrecipeitem,.lang,items\lang\german\queenofthenightseedsrecipeitem.lang,Queen of the Night Seeds Recipe,Rezept für Königin-Samen,das,ein,dieses,Pflanze eine Königin der Nacht in deinem Garten mit diesen Samen an! Diese wunderschönen Blumen sind zart und schön anzusehen.
rabbititem,.lang,items\lang\german\rabbititem.lang,Rabbit,Kaninchen,das,ein,dieses,Ein pummeliges Kaninchen. Würde eine sättigende Mahlzeit ergeben.
raspberriesfairitem,.lang,items\lang\german\raspberriesfairitem.lang,Raspberries [Fair],Himbeeren,die,ein,diese,Ansprechende rote Beeren mit einem Hauch von süßem Geschmack.
raspberriesgooditem,.lang,items\lang\german\raspberriesgooditem.lang,Raspberries [Good],Himbeeren,die,ein,diese,Verlockende rote Beeren mit einem Hauch von süßem Geschmack.
raspberriespooritem,.lang,items\lang\german\raspberriespooritem.lang,Raspberries [Poor],Himbeeren,die,ein,diese,Kleine rote Beeren mit einem Hauch von süßem Geschmack.
raspberriesseedsitem,.lang,items\lang\german\raspberriesseedsitem.lang,Raspberries Seeds,Himbeersamen,die,ein,diese,"Winzige rötlich-braune Samen, die von einer Himbeere stammen. Säe sie im Garten aus und beobachte, wie sie wachsen!"
raspberriesseedsrecipeitem,.lang,items\lang\german\raspberriesseedsrecipeitem.lang,Raspberries Seeds Recipe,Rezept für Himbeersamen,das,ein,dieses,Pflanze rote Himbeeren in deinem Garten mit diesen Samen an! Himbeeren sind ein köstlicher Snack.
ratitem,.lang,items\lang\german\ratitem.lang,Rat,Ratte,die,eine,diese,"Ein rauflustiges Nagetier, das sich nicht kampflos geschlagen geben will."
redladybugitem,.lang,items\lang\german\redladybugitem.lang,Red Ladybug,Roter Marienkäfer,der,ein,dieser,Ein hübscher kleiner Käfer mit schwarzen Punkten.
redroseitem,.lang,items\lang\german\redroseitem.lang,Red Rose,Rote Rose,die,eine,diese,"Eine wunderschöne rote Blume, die wahre Liebe symbolisiert. Gib sie einer Katze, um ihr zu zeigen, dass du dich in sie verliebt hast!"
redroseseedsitem,.lang,items\lang\german\redroseseedsitem.lang,Red Rose Seeds,Rote-Rosen-Samen,die,ein,diese,"Leicht gefärbte Samen, die von einer roten Rose stammen. Säe sie im Garten aus und beobachte, wie sie wachsen!"
redroseseedsrecipeitem,.lang,items\lang\german\redroseseedsrecipeitem.lang,Red Rose Seeds Recipe,Rezept für Rote-Rosen-Samen,das,ein,dieses,"Pflanze rote Rosen in deinem Garten mit diesen Samen an! Das Symbol der wahren Liebe. Alle Katzen wissen, was es bedeutet, eine zu bekommen."
redscarfaccessoryitem,.lang,items\lang\german\redscarfaccessoryitem.lang,Red Scarf Accessory,Roter Schal,der,ein,dieser,Jetzt kannst du gleichzeitig gemütlich und modisch sein!
robinitem,.lang,items\lang\german\robinitem.lang,Robin,Rotkehlchen,das,ein,dieses,"Es ist schwer, den leuchtend roten Bauch zu übersehen."
rockdebrisitem,.lang,items\lang\german\rockdebrisitem.lang,Rock Debris,Kieselsteine,die,ein Haufen Kieselsteine,diese Kieselsteine,Ein kleiner Haufen fast wertloser Kieselsteine.
rosymothitem,.lang,items\lang\german\rosymothitem.lang,Rosy Moth,Rosige Motte,die,eine,diese,Eine angenehme pastellfarbene Beute mit einem samtigen Bauch.
roundglassesaccessoryitem,.lang,items\lang\german\roundglassesaccessoryitem.lang,Round Glasses Accessory,Runde Brille,die,eine,diese,"Kleine, runde Brille zum Tragen im Gesicht."
rubbermatfurnitureitem,.lang,items\lang\german\rubbermatfurnitureitem.lang,Rubber Mat Furniture,Gummimatte,die,eine,diese,"Eine kleine dunkle Matte aus dünnem Gummi. Ideal geeignet, um Schlamm von den Pfoten zu wischen, aber mehr auch nicht."
rubyitem,.lang,items\lang\german\rubyitem.lang,Ruby,Rubin,der,ein,dieser,Ein makelloser roter Edelstein.
salmonitem,.lang,items\lang\german\salmonitem.lang,Salmon,Lachs,der,ein,dieser,Dieser große Süßwasserfisch hat einen schillernden Streifen entlang seines Rückens.
sapphireitem,.lang,items\lang\german\sapphireitem.lang,Sapphire,Saphir,der,ein,dieser,"Ein funkelnder blauer Edelstein, so leuchtend und tief wie ein klarer Sommerhimmel."
scallopitem,.lang,items\lang\german\scallopitem.lang,Scallop,Jakobsmuschel,die,eine,diese,Eine kleine Muschel mit einem rosa Farbton. Fühlt sich glatt an.
seabassitem,.lang,items\lang\german\seabassitem.lang,Sea Bass,Seebarsch,der,ein,dieser,Ein dunkler Salzwasserfisch mit stacheligen Flossen. Schmeckt ... salzig.
shaleitem,.lang,items\lang\german\shaleitem.lang,Shale,Schiefer,der,ein,dieser,"Schichten aus dunklem, sprödem Gestein."
shimmercragitem,.lang,items\lang\german\shimmercragitem.lang,Shimmercrag,Schimmerfelsen,der,ein,dieser,Diese funkelnden Juwelen sind schwer zu bekommen. Ein leises Summen geht von der Mitte aus. Welche Kraft ist darin enthalten?
shinycurioitem,.lang,items\lang\german\shinycurioitem.lang,Shiny Curio,Glänzende Kuriosität,die,eine,diese,"Ein glänzendes Material, grob zu einer Kugel geformt."
shinytrinketitem,.lang,items\lang\german\shinytrinketitem.lang,Shiny Trinket,Glänzendes Schmuckstück,das,ein,dieses,"Ein schillerndes Schmuckstück aus menschlicher Herstellung. Verwende diesen Gegenstand, um der Katze, die dein Herz gestohlen hat, einen Heiratsantrag zu machen!"
shinytrinketrecipeitem,.lang,items\lang\german\shinytrinketrecipeitem.lang,Shiny Trinket Recipe,Rezept für ein glänzendes Schmuckstück,das,ein,dieses,"Ein schillerndes Schmuckstück aus menschlicher Herstellung. Verwende diesen Gegenstand, um der Katze, die dein Herz gestohlen hat, einen Heiratsantrag zu machen!"
shrewitem,.lang,items\lang\german\shrewitem.lang,Shrew,Spitzmaus,die,eine,diese,Eine pummelige kleine Spitzmaus mit einer bärtigen Schnauze.
silvercrownaccessoryitem,.lang,items\lang\german\silvercrownaccessoryitem.lang,Silver Crown Accessory,Silberne Krone,die,eine,diese,Diese elegante Krone ist aus robustem Metall gefertigt.
silveroreitem,.lang,items\lang\german\silveroreitem.lang,Silver Ore,Silbererz,das,ein,dieses,Ein Silbervorkommen verläuft durch diesen Felsen und lässt ihn glänzen.
smallcurioitem,.lang,items\lang\german\smallcurioitem.lang,Small Curio,Kleine Kuriosität,die,eine,diese,Ein seltsames Keramikobjekt mit einem Loch in der Mitte.
snakeitem,.lang,items\lang\german\snakeitem.lang,Snake,Schlange,die,eine,diese,Eine kriechende grüne Bedrohung mit gespaltener Zunge.
snakelilyfairitem,.lang,items\lang\german\snakelilyfairitem.lang,Snake Lily [Fair],Schlangenlilie,die,eine,diese,Eine schädliche lila Blüte. Verleiht deinen Angriffen einen Gifteffekt.
snakelilygooditem,.lang,items\lang\german\snakelilygooditem.lang,Snake Lily [Good],Schlangenlilie,die,eine,diese,Eine bösartige lila Blüte. Verleiht deinen Angriffen einen Gifteffekt.
snakelilypooritem,.lang,items\lang\german\snakelilypooritem.lang,Snake Lily [Poor],Schlangenlilie,die,eine,diese,Eine giftige lila Blüte. Verleiht deinen Angriffen einen Gifteffekt.
snakelilyseedsitem,.lang,items\lang\german\snakelilyseedsitem.lang,Snake Lily Seeds,Schlangenliliensamen,die,ein,diese,"Dunkle Schoten, die von einer Schlangenlilienpflanze stammen. Säe sie im Garten aus und beobachte, wie sie wachsen!"
snakelilyseedsrecipeitem,.lang,items\lang\german\snakelilyseedsrecipeitem.lang,Snake Lily Seeds Recipe,Rezept für Schlangenliliensamen,das,ein,dieses,"Pflanze Schlangenlilien in deinem Garten mit diesen Samen an! Diese gefährliche Pflanze kann auf deine Krallen aufgetragen werden, um zusätzlichen Schaden zu verursachen."
snowysweateraccessoryitem,.lang,items\lang\german\snowysweateraccessoryitem.lang,Snowy Sweater Accessory,Schneeflocken-Pullover,der,ein,dieser,Ein warmer Wollpullover mit einem Schneeflockenmuster.
softcurioitem,.lang,items\lang\german\softcurioitem.lang,Soft Curio,Weiche Kuriosität,die,eine,diese,"Ein sehr weiches, rundes Ding aus Baumwolle."
southerndamselflyitem,.lang,items\lang\german\southerndamselflyitem.lang,Southern Damselfly,Helm-Azurjungfer (Libelle),die,eine,diese,"Eine lange, dürr aussehende Libelle mit vier breiten Flügeln."
sparklycurioitem,.lang,items\lang\german\sparklycurioitem.lang,Sparkly Curio,Glitzernde Kuriosität,die,eine,diese,"Ein komplexer Knoten, aus einem glitzernden Band gebunden."
sparrowitem,.lang,items\lang\german\sparrowitem.lang,Sparrow,Spatz,der,ein,dieser,Ein winziger brauner Vogel mit einer rötlichen Färbung.
sphinxmothitem,.lang,items\lang\german\sphinxmothitem.lang,Sphinx Moth,Schwärmer (Motte),der,ein,dieser,"Eine verschwommene fliegende Figur, die nachts auftaucht."
spideritem,.lang,items\lang\german\spideritem.lang,Spider,Spinne,die,eine,diese,Ein gruseliges Krabbeltier mit acht Beinen und einem hängenden Unterleib.
spikeballitem,.lang,items\lang\german\spikeballitem.lang,Spikeball,Stachel,der,ein,dieser,"Eine tödliche Maschine, die in den Minen gefunden wurde."
spikecollaritem,.lang,items\lang\german\spikecollaritem.lang,Spike Collar Accessory,Stachelhalsband,das,ein,dieses,"Wenn Einschüchterung das Ziel ist, dann ist dieses Halsband genau das Richtige für dich. Sind die Stacheln aus Metall oder aus Zähnen ...?"
spiketrapfurnitureitem,.lang,items\lang\german\spiketrapfurnitureitem.lang,Spike Trap Furniture,Stachelfalle,die,eine,diese,"Eine gefährliche Apparatur, die von selbst läuft. Vorsichtig behandeln!"
spring1recorditem,.lang,items\lang\german\spring1recorditem.lang,Spring 1 Record,Frühling 1,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine lebhafte Frühlingsmelodie."
spring2recorditem,.lang,items\lang\german\spring2recorditem.lang,Spring 2 Record,Frühling 2,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine dynamische Frühlingsmelodie."
spring3recorditem,.lang,items\lang\german\spring3recorditem.lang,Spring 3 Record,Frühling 3,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine energiegeladene Frühlingsmelodie."
springfestivalrecorditem,.lang,items\lang\german\springfestivalrecorditem.lang,Spring Festival Record,Frühlingsfest,das,ein,dieses,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine Frühlingsparty-Melodie."
springycurioitem,.lang,items\lang\german\springycurioitem.lang,Springy Curio,Springende Kuriosität,die,eine,diese,Boing! Boing!
squareglassesaccessoryitem,.lang,items\lang\german\squareglassesaccessoryitem.lang,Square Glasses Accessory,Quadratische Brille,die,eine,diese,"Große, rechteckige Rahmen zum Tragen im Gesicht."
squirrelitem,.lang,items\lang\german\squirrelitem.lang,Squirrel,Eichhörnchen,das,ein,dieses,"Ein saftiges Eichhörnchen, gefangen von einer erfahrenen Katze auf der Jagd."
starlingitem,.lang,items\lang\german\starlingitem.lang,Starling,Star,der,ein,dieser,"Ein schillernder Vogel mit auffälligen, sternenähnlichen Tupfen."
stoatitem,.lang,items\lang\german\stoatitem.lang,Stoat,Hermelin,der,ein,dieser,Ein aggressives schneeweißes Säugetier.
stonedaisfurnitureitem,.lang,items\lang\german\stonedaisfurnitureitem.lang,Stone Dais Furniture,Steinpodest,das,ein,dieses,Eine niedrige Plattform aus staubigen vergilbten Steinen.
stretchmatfurnitureitem,.lang,items\lang\german\stretchmatfurnitureitem.lang,Stretch Mat Furniture,Stretch-Matte,die,eine,diese,Eine lange mintgrüne Gummimatte. Der perfekte Ort für deine morgendlichen Dehnungsübungen. Bleib flexibel!
stretchycurioitem,.lang,items\lang\german\stretchycurioitem.lang,Stretchy Curio,Dehnbare Kuriosität,die,eine,diese,"Ein gummiartiges Ding, das sich leicht dehnt."
stripedsweateraccessoryitem,.lang,items\lang\german\stripedsweateraccessoryitem.lang,Striped Sweater Accessory,Gestreifter Pullover,der,ein,dieser,Ein modischer grün-weiß gestreifter Pullover.
summer1recorditem,.lang,items\lang\german\summer1recorditem.lang,Summer 1 Record,Sommer 1,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine warme Sommermelodie."
summer2recorditem,.lang,items\lang\german\summer2recorditem.lang,Summer 2 Record,Sommer 2,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine angenehme Sommermelodie."
summer3recorditem,.lang,items\lang\german\summer3recorditem.lang,Summer 3 Record,Sommer 3,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine mitreißende Sommermelodie."
summerfestivalrecorditem,.lang,items\lang\german\summerfestivalrecorditem.lang,Summer Festival Record,Sommerfest,das,ein,dieses,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine Sommerparty-Melodie."
summersweateraccessoryitem,.lang,items\lang\german\summersweateraccessoryitem.lang,Summer Sweater Accessory,Sommerpullover,der,ein,dieser,Ein heller Pullover mit einem Bild der Sonne auf dem Rücken.
supplytroveitem,.lang,items\lang\german\supplytroveitem.lang,Supply Trove,Fundgrube,die,eine,diese,"Spende diesen Gegenstand, um den Wert jedes deiner Vorratslager um 2 zu erhöhen!"
supplytroverecipeitem,.lang,items\lang\german\supplytroverecipeitem.lang,Supply Trove Recipe,Rezept für eine Fundgrube,das,ein,dieses,"Schaltet ein neues Rezept für Fundgruben. Fundgruben können gespendet werden, um den Wert aller Vorratslager deiner Kolonie um 2 zu erhöhen!"
surcoataccessoryitem,.lang,items\lang\german\surcoataccessoryitem.lang,Surcoat Accessory,Wams,das,ein,dieses,Ein locker sitzendes Hemd mit kräftigen matten Farben.
sweetcurioitem,.lang,items\lang\german\sweetcurioitem.lang,Sweet Curio,Süße Kuriosität,die,eine,diese,"Du bist dir nicht sicher, wie du den Deckel entfernen sollst, aber es riecht auf jeden Fall süß."
teethmaskaccessoryitem,.lang,items\lang\german\teethmaskaccessoryitem.lang,Teeth Mask Accessory,Zahnmaske,die,eine,diese,Eine robust aussehende Maske zum Aufsetzen auf Nase und Maul.
theatermaskaccessoryitem,.lang,items\lang\german\theatermaskaccessoryitem.lang,Theater Mask Accessory,Theatermaske,die,eine,diese,Eine seltsame Maske aus einem längst vergessenen Theaterstück.
thistlefairitem,.lang,items\lang\german\thistlefairitem.lang,Thistle [Fair],Distel,die,eine,diese,Ein knollenförmiger Strang aus hellblauen Nadeln. Verbessert dein Schwimmen für eine kurze Zeit.
thistlegooditem,.lang,items\lang\german\thistlegooditem.lang,Thistle [Good],Distel,die,eine,diese,Ein gesunder Strang aus hellblauen Nadeln. Verbessert dein Schwimmen für kurze Zeit.
thistlepooritem,.lang,items\lang\german\thistlepooritem.lang,Thistle [Poor],Distel,die,eine,diese,Ein hoher Strang aus hellblauen Nadeln. Verbessert dein Schwimmen für eine kurze Zeit.
thistleseedsitem,.lang,items\lang\german\thistleseedsitem.lang,Thistle Seeds,Distelsamen,die,ein,diese,"Kleine gelbe Samen, die von einer Distelpflanze stammen. Säe sie im Garten aus und beobachte, wie sie wachsen!"
thistleseedsrecipeitem,.lang,items\lang\german\thistleseedsrecipeitem.lang,Thistle Seeds Recipe,Rezept für Distelsamen,das,ein,dieses,"Pflanze Disteln in deinem Garten mit diesen Samen an! Disteln helfen dir, für kurze Zeit besser zu schwimmen."
thrushitem,.lang,items\lang\german\thrushitem.lang,Thrush,Drossel,die,eine,diese,Ein Vogel mit einem gesprenkelten Muster auf dem Bauch.
tiaraaccessoryitem,.lang,items\lang\german\tiaraaccessoryitem.lang,Tiara Accessory,Tiara,die,eine,diese,Ein zierlicher Kopfschmuck. Wie für eine Prinzessin.
tigerbutterflyitem,.lang,items\lang\german\tigerbutterflyitem.lang,Tiger Butterfly,Tigerschwalbenschwanz,der,ein,dieser,Ein fliegendes Insekt mit schwarzen Streifen auf gelben Flügeln.
toaditem,.lang,items\lang\german\toaditem.lang,Toad,Kröte,die,eine,diese,"Sieht so aus, als hätte sie das Zeitliche gesegnet."
topazitem,.lang,items\lang\german\topazitem.lang,Topaz,Topas,der,ein,dieser,Ein glänzender gelber Edelstein.
tophataccessoryitem,.lang,items\lang\german\tophataccessoryitem.lang,Top Hat Accessory,Zylinder,der,ein,dieser,Ein schicker schwarzer Hut mit runder Krempe. Formell und elegant!
trainingmanualitem,.lang,items\lang\german\trainingmanualitem.lang,Training Manual,Trainings-Handbuch,das,ein,dieses,"Viele hilfreiche Informationen für alle, die das Abenteuer suchen! Benutze diesen Gegenstand, während eine befreundete Katze dir folgt, um Buddy-EP sofort zu erhöhen."
treasurechestfurnitureitem,.lang,items\lang\german\treasurechestfurnitureitem.lang,Treasure Chest Furniture,Schatzkiste,die,eine,diese,"Der perfekte Ort, um deine Wertsachen zu verstecken! Kann verwendet werden, um auf dein Lager zuzugreifen."
treasurehoardbedfurnitureitem,.lang,items\lang\german\treasurehoardbedfurnitureitem.lang,Treasure Hoard Bed Furniture,Schatzkammer-Bett,das,ein,dieses,"Schütze deinen Reichtum vor neugierigen Pfoten, indem du wie ein schlummernder Drache darauf schläfst! Ein stattlicher Haufen von Münzen und kostbaren Edelsteinen."
tremortroveitem,.lang,items\lang\german\tremortroveitem.lang,Tremortrove,Zittermaschine,die,eine,diese,"Eine gedankenlose Maschine, die örtlich begrenzte Erdbeben in einem rhythmischen Muster erzeugen kann."
tropicalbutterflyitem,.lang,items\lang\german\tropicalbutterflyitem.lang,Tropical Butterfly,Tropischer Schmetterling,der,ein,dieser,Ein leichtes Insekt mit vielfältiger Zeichnung.
troutitem,.lang,items\lang\german\troutitem.lang,Trout,Forelle,die,eine,diese,"Ein großer, gefleckter Süßwasserfisch. Das Abendessen ist serviert!"
troutplaquefurnitureitem,.lang,items\lang\german\troutplaquefurnitureitem.lang,Trout Plaque Furniture,Forellen-Plakette,die,eine,diese,Zeige dein Angeltalent mit dieser an der Wand befestigten Trophäe einer Forelle auf einem Holzbrett!
turretitem,.lang,items\lang\german\turretitem.lang,Turret,Türmchen,das,ein,dieses,"Eine hohe, spitze Muschel, die einst eine winzige Schnecke beherbergte."
turtleitem,.lang,items\lang\german\turtleitem.lang,Turtle,Schildkröte,die,eine,diese,Eine bemalte Schildkröte mit einem harten Panzer.
tussockmothitem,.lang,items\lang\german\tussockmothitem.lang,Tussock Moth,Trägspinner (Motte),der,ein,dieser,Ein schlichtes Flugtier mit hellen Streifen auf den Flügeln.
undergroundindustryrecorditem,.lang,items\lang\german\undergroundindustryrecorditem.lang,Underground Industry Record,Untergrundindustrie,die,eine,diese,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine Bergbau-Melodie, die bei Maulwürfen überall beliebt ist."
unidentifiedcurioitem,.lang,items\lang\german\unidentifiedcurioitem.lang,Unidentified Curio,Unidentifizierte Kuriosität,die,eine,diese,"Was könnte diese seltsame Neuheit sein? Bringe sie zum Kuriositäten-Identifikationstisch im Museum, um sie zu identifizieren."
unidentifiedcuriorecipeitem,.lang,items\lang\german\unidentifiedcuriorecipeitem.lang,Unidentified Curio Recipe,Rezept für unidentifizierte Kuriosität,das,ein,dieses,Beim Durchsuchen dieser Gegenstände kannst du manchmal eine verlorene Kuriosität finden. Bringe sie ins Museum zur Identifizierung.
valerianfairitem,.lang,items\lang\german\valerianfairitem.lang,Valerian [Fair],Baldrian,der,ein,dieser,Ein Büschel fröhlicher rosa und weißer Blüten. Erhöht für kurze Zeit deine Bewegungsgeschwindigkeit.
valeriangooditem,.lang,items\lang\german\valeriangooditem.lang,Valerian [Good],Baldrian,der,ein,dieser,Eine Ansammlung von leuchtend rosa und weißen Blüten. Erhöht für kurze Zeit deine Bewegungsgeschwindigkeit.
valerianpooritem,.lang,items\lang\german\valerianpooritem.lang,Valerian [Poor],Baldrian,der,ein,dieser,Eine Ansammlung aus mattrosa und weißen Blüten. Erhöht für kurze Zeit deine Bewegungsgeschwindigkeit.
valerianseedsitem,.lang,items\lang\german\valerianseedsitem.lang,Valerian Seeds,Baldriansamen,die,ein,diese,"Kleine braune Samen, die von einer Baldrianpflanze stammen. Säe sie im Garten aus und beobachte, wie sie wachsen!"
valerianseedsrecipeitem,.lang,items\lang\german\valerianseedsrecipeitem.lang,Valerian Seeds Recipe,Rezept für Baldriansamen,das,ein,dieses,Pflanze mit diesen Samen Baldrian in deinem Garten an! Baldrian kann einer Katze einen Energieschub geben.
vialofspringshowersitem,.lang,items\lang\german\vialofspringshowersitem.lang,Vial of Spring Showers,Phiole des Frühlingsregens,die,eine,diese,"Verwende dies jederzeit, um einen leichten Frühlingsregen bis zum Ende des Tages herbeizurufen. Zur einmaligen Anwendung."
voidlingcat,.lang,items\lang\german\voidlingcat.lang,VoidlingCat,Schattenkatze,die,eine,diese,Ein unfreundlicher Schatten in Form einer Katze.
voidmarrowitem,.lang,items\lang\german\voidmarrowitem.lang,Voidmarrow,Schatten,der,ein,dieser,Ein wimmelnder Haufen schattiger Essenz. Es vermittelt dir ein unbehagliches Gefühl.
voleitem,.lang,items\lang\german\voleitem.lang,Vole,Wühlmaus,die,eine,diese,Sieht ein bisschen wie ein Hamster aus.
wallcrystalsfurnitureitem,.lang,items\lang\german\wallcrystalsfurnitureitem.lang,Wall Crystals Furniture,Wandkristalle,die,eine,diese,"Rosa-weiße Quarzkristalle, die sich an senkrechten Oberflächen wie den Wänden deiner Höhle festhalten können."
weaselitem,.lang,items\lang\german\weaselitem.lang,Weasel,Wiesel,das,ein,dieses,"Eine schlanke Kreatur mit kleinen, runden Ohren."
whiskersaccessoryitem,.lang,items\lang\german\whiskersaccessoryitem.lang,Whiskers Accessory,Schnurrhaare,die,ein,diese,"Die meisten Katzen haben Schnurrhaare, aber diese sind dicker und deutlicher ausgeprägt."
whitebuttonitem,.lang,items\lang\german\whitebuttonitem.lang,White Button,Weißer Champignon,der,ein,dieser,Ein zierlicher Weißkappenpilz mit erdigem Geschmack.
whitecavecricketitem,.lang,items\lang\german\whitecavecricketitem.lang,White Cave Cricket,Weiße Höhlenschrecke,die,eine,diese,Eine kleine Kreatur mit dunklen Augen und einem durchsichtigen Körper. Sie versammeln sich oft unter Steinen.
whitefireflyitem,.lang,items\lang\german\whitefireflyitem.lang,White Firefly,Weißes Glühwürmchen,das,ein,dieses,"Ein leuchtender Sommerkäfer, der weißes Licht ausstrahlt."
whitefloweraccessoryitem,.lang,items\lang\german\whitefloweraccessoryitem.lang,White Flower Accessory,Weiße Blume,die,eine,diese,Eine schöne weiße Blüte als Kopfschmuck.
whitespikecollaraccessoryitem,.lang,items\lang\german\whitespikecollaraccessoryitem.lang,White Spike Collar Accessory,Weißes Stachelhalsband,das,ein,dieses,"Ein weißes Lederband, besetzt mit kleinen schwarzen Stacheln. Sie sehen spitz aus!"
whorlitem,.lang,items\lang\german\whorlitem.lang,Whorl,Wirbel,der,ein,dieser,Diese harte Schale hat ein Spiralmuster.
wildwoodrecorditem,.lang,items\lang\german\wildwoodrecorditem.lang,Wildwood Record,Wildwood,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine abenteuerliche Melodie."
winter1recorditem,.lang,items\lang\german\winter1recorditem.lang,Winter 1 Record,Winter 1,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine beruhigende Wintermelodie."
winter2recorditem,.lang,items\lang\german\winter2recorditem.lang,Winter 2 Record,Winter 2,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine kühle Wintermelodie."
winter3recorditem,.lang,items\lang\german\winter3recorditem.lang,Winter 3 Record,Winter 3,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine friedliche Wintermelodie."
winterfestivalrecorditem,.lang,items\lang\german\winterfestivalrecorditem.lang,Winter Festival Record,Winterfest,das,ein,dieses,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine Winterparty-Melodie."
winterlightsfurnitureitem,.lang,items\lang\german\winterlightsfurnitureitem.lang,Winter Lights Furniture,Winterlichter,die,eine,diese,"Mehrfarbige Glühbirnen, an einer festlichen Schnur aufgereiht."
